Tên khu vực,Tên Tỉnh-Thành phố,Dân số,Diện tích,Có biên giới với TQ,Có biên giới với Lào,Có biên giới với Campuchia,Có giáp với biển
Bắc Trung Bộ,Hà Tĩnh,1288866,5990.7,Không,Có,Không,Có
Bắc Trung Bộ,Nghệ An,3327791,16493.7,Không,Có,Không,Có
Bắc Trung Bộ,Quảng Bình,895430,8065.3,Không,Có,Không,Có
Bắc Trung Bộ,Quảng Trị,632375,4739.8,Không,Có,Không,Có
Bắc Trung Bộ,Thanh Hóa,3640128,11114.7,Không,Có,Không,Có
Bắc Trung Bộ,Thừa Thiên Huế,1128620,5048.2,Không,Có,Không,Có
Đông Bắc Bộ,Bắc Giang,1803950,3851.4,Không,Không,Không,Không
Đông Bắc Bộ,Bắc Kạn,313905,4860,Không,Không,Không,Không
Đông Bắc Bộ,Cao Bằng,530341,6700.3,Có,Không,Không,Không
Đông Bắc Bộ,Hà Giang,854679,7929.5,Có,Không,Không,Không
Đông Bắc Bộ,Lạng Sơn,781655,8310.2,Có,Không,Không,Không
Đông Bắc Bộ,Phú Thọ,1463726,3534.6,Không,Không,Không,Không
Đông Bắc Bộ,Quảng Ninh,1320324,6177.7,Có,Không,Không,Có
Đông Bắc Bộ,Thái Nguyên,1286751,3536.4,Không,Không,Không,Không
Đông Bắc Bộ,Tuyên Quang,784811,5867.9,Không,Không,Không,Không
Đồng bằng sông Cửu Long,An Giang,1908352,3536.7,Không,Không,Có,Không
Đồng bằng sông Cửu Long,Bạc Liêu,907236,2669,Không,Không,Không,Có
Đồng bằng sông Cửu Long,Bến Tre,1288463,2394.6,Không,Không,Không,Có
Đồng bằng sông Cửu Long,Cà Mau,1194476,5294.8,Không,Không,Không,Có
Đồng bằng sông Cửu Long,Cần Thơ,1235171,1439.2,Không,Không,Không,Không
Đồng bằng sông Cửu Long,Đồng Tháp,1599504,3383.8,Không,Không,Có,Không
Đồng bằng sông Cửu Long,Hậu Giang,733017,1621.8,Không,Không,Không,Không
Đồng bằng sông Cửu Long,Kiên Giang,1723067,6348.8,Không,Không,Có,Có
Đồng bằng sông Cửu Long,Long An,1688547,4490.2,Không,Không,Có,Không
Đồng bằng sông Cửu Long,Sóc Trăng,1199653,3311.8,Không,Không,Không,Có
Đồng bằng sông Cửu Long,Tiền Giang,1764185,2510.5,Không,Không,Không,Có
Đồng bằng sông Cửu Long,Trà Vinh,1009168,2358.2,Không,Không,Không,Có
Đồng bằng sông Cửu Long,Vĩnh Long,1022791,1475,Không,Không,Không,Không
Đồng bằng sông Hồng,Bắc Ninh,1368840,822.7,Không,Không,Không,Không
Đồng bằng sông Hồng,Hà Nam,852800,860.9,Không,Không,Không,Không
Đồng bằng sông Hồng,Hà Nội,8053663,3358.9,Không,Không,Không,Không
Đồng bằng sông Hồng,Hải Dương,1892254,1668.2,Không,Không,Không,Không
Đồng bằng sông Hồng,Hải Phòng,2028514,1522.5,Không,Không,Không,Có
Đồng bằng sông Hồng,Hưng Yên,1252731,930.2,Không,Không,Không,Không
Đồng bằng sông Hồng,Nam Định,1780393,1668,Không,Không,Không,Có
Đồng bằng sông Hồng,Ninh Bình,982487,1387,Không,Không,Không,Có
Đồng bằng sông Hồng,Thái Bình,1860447,1570.5,Không,Không,Không,Có
Đồng bằng sông Hồng,Vĩnh Phúc,1154154,1235.2,Không,Không,Không,Không
Đông Nam Bộ,Bà Rịa - Vũng Tàu,1148313,1980.8,Không,Không,Không,Có
Đông Nam Bộ,Bình Dương,2426561,2694.7,Không,Không,Không,Không
Đông Nam Bộ,Bình Phước,994679,6877,Không,Không,Có,Không
Đông Nam Bộ,Đồng Nai,3097107,5905.7,Không,Không,Không,Không
Đông Nam Bộ,Hồ Chí Minh,8993082,2061,Không,Không,Không,Có
Đông Nam Bộ,Tây Ninh,1169165,4041.4,Không,Không,Có,Không
Duyên hải Nam Trung Bộ,Bình Định,1486918,6066.2,Không,Không,Không,Có
Duyên hải Nam Trung Bộ,Bình Thuận,1230808,7812.8,Không,Không,Không,Có
Duyên hải Nam Trung Bộ,Đà Nẵng,1134310,1284.9,Không,Không,Không,Có
Duyên hải Nam Trung Bộ,Khánh Hòa,1231107,5137.8,Không,Không,Không,Có
Duyên hải Nam Trung Bộ,Ninh Thuận,590467,3355.3,Không,Không,Không,Có
Duyên hải Nam Trung Bộ,Phú Yên,961152,5023.4,Không,Không,Không,Có
Duyên hải Nam Trung Bộ,Quảng Nam,1495812,10574.7,Không,Có,Không,Có
Duyên hải Nam Trung Bộ,Quảng Ngãi,1231697,5135.2,Không,Không,Không,Có
Tây Bắc Bộ,Điện Biên,598856,9541,Có,Có,Không,Không
Tây Bắc Bộ,Hòa Bình,854131,4591,Không,Không,Không,Không
Tây Bắc Bộ,Lai Châu,460196,9068.8,Có,Không,Không,Không
Tây Bắc Bộ,Lào Cai,730420,6364,Có,Không,Không,Không
Tây Bắc Bộ,Sơn La,1248415,14123.5,Không,Có,Không,Không
Tây Bắc Bộ,Yên Bái,821030,6887.7,Không,Không,Không,Không
Tây Nguyên,Đắk Lắk,1869322,13030.5,Không,Không,Có,Không
Tây Nguyên,Đắk Nông,622168,6509.3,Không,Không,Có,Không
Tây Nguyên,Gia Lai,1513847,15510.8,Không,Không,Có,Không
Tây Nguyên,Kon Tum,540438,9674.2,Không,Có,Có,Không
Tây Nguyên,Lâm Đồng,1296606,9783.2,Không,Không,Không,Không
